feature,importance
overall,0.8425444590514004
potential,0.09858045127466225
age,0.03465588818208007
offensive_index,0.012429219783643518
dribbling,0.004134529775638824
shooting,0.003501221097707152
pace,0.0012027312777052935
defending,0.0008617723934578264
passing,0.0008335624590380611
growth_potential,0.0004385727040135571
defensive_index,0.00036415240991023934
main_position_LB,0.00015715223450895162
height_cm,0.00015387720615958972
physic,5.234040294930569e-05
main_position_RB,4.358556388662488e-05
bmi,1.9878773797319685e-05
weight_kg,1.1570763187750573e-05
main_position_CAM,8.833715371012343e-06
main_position_CM,5.065784277454531e-06
main_position_LW,1.1351466048617152e-06
main_position_CDM,0.0
main_position_CB,0.0
main_position_GK,0.0
main_position_CF,0.0
main_position_LM,0.0
main_position_LWB,0.0
main_position_RM,0.0
main_position_RW,0.0
main_position_RWB,0.0
main_position_ST,0.0
